ITEM_ID,CATEGORIES
30023627,A
30023677,B
30009668,C
30004690,C
30004691,B
30005539,A|B|C
13138203,B
13138120,C|D|E
30004319,D
30004689,E
30005082,A
30003478,B
30000958,C
30004110,D
30003424,E
10401044,A
30003363,B
30002764,C|D|E
30002186,D
30002170,E|B|C
30002725,A
30002720,B
30002525,C
30002734,D|B|C
30002733,E
30002732,A
30002257,B|C|E
30002559,C
30002558,D
30002557,E
30002556,A
30001683,B
30001062,C
30001688,D
30002494,E
30001573,A|C|E
10150259,B|C|E
12334444,C
30002230,D
30002157,E
30002159,A
30001818,B
30001817,C
10000053,D
30002416,E
30002398,A
30002229,B
30002228,C
30002265,D
30002209,E
30002175,A|C|E
30002171,B
30001027,C
10002720,D
30002097,E|B|C
10000160,A
30002072,B
30002071,C
30002073,D
10003109,E
10000260,A|B|C
30001091,B
30001665,C
12341234,D
30001863,E
48000010,A
30001938,B
30001937,C
30001936,D
30001935,E
30001880,A
30001934,B
10112524,C
10110308,D
10108210,E
10110306,A
10066324,B
10104868,C|D|E
10085035,D
10080084,E
30000454,A
30001877,B|C|E
48000012,C
30000984,D
30001825,E
30001876,A
30001874,B
30001821,C
30001879,D
30001881,E
30001352,A|C|E
30001684,B|C|E
10044717,C
45451234,D
30001416,E
30001785,A
30001783,B
30001682,C
30001695,D
30001694,E
30001691,A|C|E
30001697,B
30001696,C
30001693,D
30001692,E
30001698,A
10090721,B|C|E
10092030,C|D|E
30001634,D
21122322,E|B|C
30001664,A
10092089,B
10010926,C
10087844,D
30001050,E
30001052,A|B|C
30001653,B
30000992,C
30001654,D
30001663,E
30001652,A
30001651,B
30001645,C
30001644,D
30001643,E
30001639,A
30001638,B|C|E
30001637,C
30001648,D
30001636,E
30001635,A
30001647,B
30001646,C|D|E
30001649,D
30001650,E
30001642,A
30001641,B
30001634,C
30001633,D
30001640,E
30000994,A
30001619,B
30001620,C
30001003,D
30001608,E|B|C
30001590,A|C|E
30001591,B
30001577,C
30001425,D
30001581,E
30000258,A
30001002,B
30000378,C
30001609,D
30001596,E
30001613,A|C|E
30000990,B|C|E
30001612,C
30001611,D
30001610,E|B|C
30001574,A
30001568,B
30001589,C|D|E
